date,ticker,price,decision,reason,sentiment,rsi,confidence
2025-12-20,BTC-USDT,88360.9,sell,"SELL: score=-8.1 [RSI_bias:+0.1, MACD_neg:-6.0, Sent:-2.2]",-0.100,45.31,0.200
2025-12-20,DOGE-USDT,0.13194,hold,"Neutral (score=-2.4, signals=2)",0.150,42.51,0.100
2025-12-20,DOT-USDT,1.832,hold,"Neutral (score=-3.0, signals=3)",0.150,32.36,0.600
2025-12-20,ETH-USDT,2977.93,sell,"SELL: score=-8.7 [RSI_bias:+0.1, MACD_neg:-6.0, Sent:-2.2, Vol:-0.5]",-0.100,46.53,0.200
2025-12-20,LTC-USDT,77.84,hold,"Neutral (score=-2.5, signals=3)",0.150,39.68,0.400
2025-12-20,SOL-USDT,125.81,sell,"SELL: score=-22.9 [RSI_bias:+0.2, MACD_neg:-6.0, Sent:-3.3, LLM_sell:-12.0, Vol:-1.7]",-0.150,43.47,0.600
2025-12-20,XRP-USDT,1.9335,sell,"SELL: score=-8.6 [RSI_bias:+0.2, MACD_neg:-6.0, Sent:+0.0, Vol:-2.8]",0.000,42.92,0.200
2025-12-21,ADA-USDT,0.3662,sell,"SELL: score=-9.4 [RSI_bias:+0.3, MACD_neg:-6.0, BB_low:+1.2, Sent:+0.0, Vol:-4.9]",0.000,36.50,0.400
2025-12-21,BNB-USDT,858.64,hold,"Neutral (score=-2.6, signals=2)",0.150,44.32,0.400
2025-12-21,BTC-USDT,88658.86,sell,"SELL: score=-8.1 [RSI_bias:+0.1, MACD_neg:-6.0, Sent:-2.2]",-0.100,46.16,0.200
2025-12-21,DOGE-USDT,0.13112,hold,"Neutral (score=1.8, signals=2)",0.300,41.91,0.200
2025-12-21,DOT-USDT,1.802,hold,"Neutral (score=-1.5, signals=3)",0.150,31.35,0.600
2025-12-21,ETH-USDT,3002.02,sell,"SELL: score=-8.7 [RSI_bias:+0.1, MACD_neg:-6.0, Sent:-2.2, Vol:-0.5]",-0.100,47.85,0.200
2025-12-21,LTC-USDT,76.79,sell,"SELL: score=-21.0 [RSI_bias:+0.3, MACD_neg:-6.0, Sent:-3.3, LLM_sell:-12.0]",-0.150,38.15,0.600
2025-12-21,SOL-USDT,126.03,hold,"Neutral (score=-3.7, signals=2)",0.150,43.75,0.400
2025-12-21,XRP-USDT,1.9223,hold,"Neutral (score=-1.6, signals=2)",0.300,42.22,0.200
2025-12-22,ADA-USDT,0.3711,hold,"Neutral (score=-4.3, signals=3)",0.300,38.19,0.200
2025-12-22,BNB-USDT,858.66,hold,"Neutral (score=-2.6, signals=2)",0.150,44.33,0.400
2025-12-22,BTC-USDT,88620.79,sell,"SELL: score=-8.1 [RSI_bias:+0.1, MACD_neg:-6.0, Sent:-2.2]",-0.100,46.06,0.200
2025-12-22,DOGE-USDT,0.13258,buy,"BUY: score=12.4, signals=3 [RSI_bias:+0.2, MACD_pos:+10.0, Sent:+7.7, Vol:-5.5]",0.350,43.44,0.200
2025-12-22,DOT-USDT,1.784,hold,"Neutral (score=-1.6, signals=3)",0.150,30.73,0.600
2025-12-22,ETH-USDT,3009.49,sell,"SELL: score=-8.2 [RSI_bias:+0.0, MACD_neg:-6.0, Sent:-2.2]",-0.100,48.28,0.200
2025-12-22,LTC-USDT,77.05,hold,"Neutral (score=0.9, signals=3)",0.300,38.78,0.200
2025-12-22,SOL-USDT,125.93,hold,"Neutral (score=-3.6, signals=2)",0.150,43.64,0.400
2025-12-22,XRP-USDT,1.9043,hold,"Neutral (score=0.3, signals=2)",0.300,41.06,0.200
2025-12-23,ADA-USDT,0.3628,sell,"SELL: score=-11.1 [RSI_bias:+0.3, MACD_neg:-6.0, Sent:+0.0, Vol:-5.4]",0.000,36.43,0.400
2025-12-23,BNB-USDT,844.3,sell,"SELL: score=-19.2 [RSI_bias:+0.2, MACD_neg:-6.0, BB_low:+1.9, Sent:-3.3, LLM_sell:-12.0]",-0.150,41.16,0.600
2025-12-23,BTC-USDT,87486.0,sell,"SELL: score=-21.1 [RSI_bias:+0.2, MACD_neg:-6.0, Sent:-3.3, LLM_sell:-12.0]",-0.150,43.11,0.600
2025-12-23,DOGE-USDT,0.12928,hold,"Neutral (score=8.7, signals=3)",0.200,40.81,0.600
